job_title,salary_usd,experience_level,employment_type,company_location,company_size,remote_ratio,required_skills,years_experience
Research Scientist,115376,EX,FT,India,M,100,"Linux, R, Azure, Mathematics, Git",17
Research Scientist,106579,MI,PT,United States,S,100,"Docker, Tableau, Mathematics",3
Data Scientist,135230,SE,PT,Norway,S,100,"R, PyTorch, Kubernetes, Computer Vision",8
Research Scientist,67607,MI,PT,Israel,S,50,"Python, Tableau, TensorFlow, AWS",4
AI Architect,88470,MI,PT,Canada,L,0,"Azure, Kubernetes, TensorFlow, Statistics, Spark",3
Autonomous Systems Engineer,79863,MI,FL,India,L,100,"Python, Docker, GCP, Scala",4
Machine Learning Engineer,60299,EN,PT,Israel,L,100,"Git, Linux, Python, TensorFlow, Mathematics",0
Machine Learning Engineer,85645,MI,FT,Germany,M,0,"PyTorch, Computer Vision, R",4
AI Software Engineer,110222,SE,FL,United Kingdom,S,0,"R, Spark, AWS",8
Data Scientist,49365,EN,FT,China,M,0,"Tableau, NLP, Azure, Statistics, PyTorch",1
Data Scientist,162296,SE,PT,Norway,S,50,"TensorFlow, Azure, Computer Vision, Data Visualization",6
AI Consultant,102382,MI,PT,Switzerland,M,0,"TensorFlow, Scala, Docker, Statistics",3
AI Software Engineer,99972,MI,PT,Australia,M,50,"Java, R, Deep Learning, NLP, Azure",4
Data Engineer,64129,EN,CT,South Korea,L,0,"Java, Git, Deep Learning",0
AI Specialist,87938,SE,FT,Ireland,S,100,"Mathematics, Spark, Python, AWS",8
Autonomous Systems Engineer,71405,MI,FL,Israel,L,0,"SQL, Java, MLOps, Linux, PyTorch",4
Machine Learning Engineer,316182,EX,PT,Denmark,M,0,"Python, Scala, Statistics, Git",12
Machine Learning Researcher,72459,EN,PT,Germany,M,100,"Hadoop, Python, Kubernetes, Azure",0
Principal Data Scientist,78338,MI,FT,France,L,100,"MLOps, Kubernetes, Git, Python",3
NLP Engineer,51907,MI,FL,Israel,M,100,"AWS, Kubernetes, Azure",4
Autonomous Systems Engineer,122831,SE,FL,France,S,100,"PyTorch, Kubernetes, Git, SQL",7
Machine Learning Researcher,124820,MI,FL,Norway,S,50,"NLP, Azure, Statistics, Spark, Mathematics",3
Autonomous Systems Engineer,134200,SE,PT,United Kingdom,S,50,"Linux, R, Tableau",9
Data Engineer,51920,EN,PT,Sweden,S,100,"Scala, R, Tableau, Data Visualization",0
Data Engineer,56427,EN,FL,Singapore,M,100,"Mathematics, Kubernetes, Spark",0
AI Product Manager,213783,EX,FT,Canada,S,100,"Kubernetes, Spark, Statistics, Scala",16
ML Ops Engineer,59728,MI,FL,Israel,M,50,"MLOps, SQL, Statistics",2
Computer Vision Engineer,119432,SE,CT,India,L,0,"Scala, MLOps, NLP",6
AI Research Scientist,284486,EX,CT,United States,M,0,"PyTorch, Linux, SQL",12
Data Analyst,157597,EX,CT,France,L,50,"Git, Kubernetes, TensorFlow, R, Java",17
ML Ops Engineer,196942,EX,CT,Australia,L,100,"R, Tableau, SQL, MLOps, Docker",19
Machine Learning Researcher,207548,EX,CT,Canada,M,0,"NLP, Azure, Spark, Data Visualization",10
NLP Engineer,68838,MI,FL,Sweden,S,50,"Java, SQL, Spark, Tableau, Azure",3
ML Ops Engineer,125666,EX,FL,Finland,L,100,"Docker, Python, Git, Kubernetes, Java",13
NLP Engineer,73174,EN,FT,Denmark,M,50,"Git, MLOps, Hadoop, Python, Spark",0
Autonomous Systems Engineer,33314,EN,CT,Israel,S,50,"SQL, Kubernetes, Docker",0
AI Specialist,69914,EN,FT,United States,S,100,"R, NLP, SQL, GCP",0
Principal Data Scientist,152118,EX,FL,France,M,50,"Spark, SQL, Python, Mathematics, Linux",11
AI Software Engineer,78014,EN,CT,France,L,50,"PyTorch, Hadoop, Scala, Computer Vision",0
Research Scientist,48466,EN,PT,Canada,S,100,"Hadoop, Spark, Kubernetes, Python",0
Data Analyst,97997,SE,CT,France,S,50,"Hadoop, Python, TensorFlow, R, Statistics",8
Principal Data Scientist,128341,SE,FL,Singapore,S,0,"Computer Vision, PyTorch, GCP, Linux",9
AI Research Scientist,111528,MI,FL,United States,L,0,"Java, Hadoop, Mathematics",3
Machine Learning Researcher,138945,EX,PT,Canada,S,50,"Linux, R, NLP, PyTorch, Git",19
NLP Engineer,98688,SE,FT,Israel,M,50,"Statistics, Python, TensorFlow, PyTorch, Git",8
Data Analyst,109029,SE,FT,France,S,0,"Kubernetes, Scala, Java",6
NLP Engineer,84797,MI,FT,Canada,M,0,"Deep Learning, Statistics, Computer Vision, TensorFlow, Mathematics",4
Machine Learning Researcher,290199,EX,CT,Switzerland,L,50,"Python, AWS, Kubernetes, Deep Learning",12
AI Research Scientist,195691,SE,CT,United States,L,0,"AWS, Kubernetes, Docker, Mathematics, MLOps",8
AI Product Manager,193448,SE,FT,Norway,L,100,"Scala, Git, Java",9
AI Product Manager,138466,EX,PT,Israel,L,100,"Azure, AWS, PyTorch, GCP, Hadoop",16
Data Analyst,91577,MI,CT,Netherlands,M,100,"Spark, Mathematics, PyTorch, SQL, TensorFlow",3
Computer Vision Engineer,92875,MI,FT,Sweden,S,0,"SQL, Python, Deep Learning",3
Data Engineer,213287,EX,FT,United Kingdom,S,100,"TensorFlow, GCP, PyTorch, Spark",13
NLP Engineer,62171,MI,FT,Japan,S,0,"Git, SQL, PyTorch, Mathematics",2
AI Research Scientist,152658,EX,FL,South Korea,L,50,"Data Visualization, PyTorch, Spark, TensorFlow",16
ML Ops Engineer,95085,MI,FT,Norway,M,100,"TensorFlow, SQL, NLP, Computer Vision, Git",2
Deep Learning Engineer,86750,MI,FL,France,S,100,"Java, R, Git, Mathematics, Spark",2
AI Specialist,64261,MI,PT,Israel,M,0,"PyTorch, Docker, GCP",2
Machine Learning Researcher,205357,EX,PT,United States,S,100,"Computer Vision, Hadoop, Git, AWS",18
AI Architect,165676,EX,CT,France,S,50,"TensorFlow, Linux, SQL, Hadoop",18
Computer Vision Engineer,114658,SE,CT,France,M,100,"SQL, Scala, Python",9
Data Scientist,143149,SE,FL,France,L,50,"NLP, Computer Vision, Mathematics, Statistics, R",6
Machine Learning Researcher,116276,SE,FL,Germany,S,50,"Azure, R, Linux, MLOps",7
NLP Engineer,61055,EN,FL,United States,M,100,"R, AWS, Computer Vision, Statistics, Docker",0
ML Ops Engineer,50303,EN,FT,Austria,L,100,"Kubernetes, SQL, Azure, Deep Learning, Linux",0
Data Analyst,65570,SE,FL,Ireland,S,50,"PyTorch, SQL, MLOps, AWS, TensorFlow",7
AI Software Engineer,231078,EX,FL,Singapore,M,50,"MLOps, R, Git, Mathematics",17
AI Product Manager,106633,SE,FT,Australia,M,100,"Linux, Scala, SQL, Git",9
AI Specialist,121180,SE,FL,Austria,L,0,"Git, Deep Learning, Kubernetes, Linux, GCP",9
Principal Data Scientist,64531,EN,PT,China,L,50,"Git, SQL, Scala, Python, Computer Vision",0
Machine Learning Engineer,125654,MI,CT,Singapore,L,50,"Python, Tableau, Java",4
Machine Learning Researcher,182275,EX,FT,Austria,L,0,"Docker, AWS, Linux, Git, Azure",14
Machine Learning Researcher,117708,MI,FL,Denmark,L,0,"PyTorch, Scala, Linux, Tableau, Deep Learning",4
Data Engineer,143246,EX,FT,South Korea,S,0,"Docker, SQL, Kubernetes, Git, Statistics",11
AI Product Manager,203198,SE,FT,Denmark,L,50,"Statistics, R, Python, TensorFlow",5
Research Scientist,69487,EN,CT,Switzerland,S,0,"Kubernetes, Azure, Spark, TensorFlow, Linux",0
AI Product Manager,95673,EX,FL,Ireland,S,0,"GCP, R, Azure, Deep Learning, PyTorch",17
AI Software Engineer,59405,EN,FL,Austria,L,100,"Spark, Python, Deep Learning, Linux, Java",1
AI Specialist,131756,SE,PT,Netherlands,M,0,"AWS, R, Spark",5
AI Software Engineer,42835,EN,PT,South Korea,L,0,"Python, TensorFlow, PyTorch",0
Autonomous Systems Engineer,61893,EN,FT,Canada,M,50,"Statistics, Python, SQL",1
ML Ops Engineer,141791,EX,CT,France,M,0,"Hadoop, Azure, Python, R",13
AI Product Manager,258637,EX,PT,United Kingdom,M,50,"Computer Vision, GCP, Azure, SQL, Python",11
NLP Engineer,49485,MI,FT,Finland,S,0,"Hadoop, Java, Data Visualization",2
Robotics Engineer,172916,SE,PT,Norway,S,100,"Computer Vision, SQL, PyTorch, Java",8
Machine Learning Engineer,324557,EX,FT,Denmark,L,100,"Hadoop, Python, Git, TensorFlow",11
AI Consultant,73894,MI,CT,France,M,50,"PyTorch, Statistics, MLOps, Kubernetes, Computer Vision",4
Principal Data Scientist,122598,SE,FT,Sweden,S,50,"Linux, AWS, Computer Vision, Deep Learning",9
Data Scientist,94478,MI,FL,Denmark,S,100,"PyTorch, TensorFlow, Hadoop, Python",4
Autonomous Systems Engineer,53088,EN,PT,Austria,M,50,"GCP, Kubernetes, Computer Vision, Deep Learning, SQL",1
Machine Learning Researcher,116012,MI,FT,Denmark,M,0,"SQL, MLOps, Python",3
Deep Learning Engineer,35593,EN,CT,China,S,0,"Python, Hadoop, Deep Learning",0
AI Product Manager,149053,EX,FT,Austria,S,0,"GCP, Linux, R, Hadoop",17
Principal Data Scientist,88230,MI,FT,Austria,L,0,"TensorFlow, Git, Azure, Python",4
AI Research Scientist,224919,EX,FL,Australia,M,100,"Kubernetes, Deep Learning, PyTorch",19
Machine Learning Researcher,220439,EX,PT,Netherlands,S,100,"SQL, Data Visualization, GCP, Deep Learning, MLOps",12
NLP Engineer,48861,EN,PT,Finland,S,100,"GCP, Python, Computer Vision, Git",0
AI Specialist,115841,SE,FL,United States,S,0,"TensorFlow, Kubernetes, Deep Learning",7
NLP Engineer,57266,MI,FL,Ireland,M,0,"Computer Vision, PyTorch, Linux, TensorFlow",3
Deep Learning Engineer,66384,MI,CT,Australia,S,0,"Git, Tableau, Hadoop, Computer Vision",2
Data Analyst,184637,EX,PT,Sweden,S,100,"R, SQL, Data Visualization",11
AI Research Scientist,92445,MI,CT,Netherlands,M,50,"Linux, Python, Scala, Docker",4
Machine Learning Researcher,57388,EN,FL,Canada,L,0,"Python, GCP, TensorFlow",1
Head of AI,53374,MI,PT,China,M,0,"Docker, Deep Learning, R",2
AI Research Scientist,95716,SE,CT,Finland,S,50,"Git, Spark, Azure, Statistics",6
NLP Engineer,157091,MI,FL,Norway,L,0,"Python, Java, Kubernetes, SQL, NLP",2
ML Ops Engineer,204144,SE,FL,Norway,L,100,"Hadoop, Mathematics, Linux",8
AI Software Engineer,190314,EX,CT,Netherlands,M,100,"GCP, Computer Vision, Scala, AWS, Linux",12
Principal Data Scientist,198403,EX,FL,Denmark,M,50,"Data Visualization, SQL, Scala",15
Research Scientist,153040,SE,CT,Canada,L,50,"SQL, Tableau, Statistics, GCP",7
AI Software Engineer,51898,MI,FL,Israel,S,0,"Deep Learning, Python, NLP",2
AI Architect,115191,SE,FL,Germany,S,0,"R, AWS, Git, Tableau",7
ML Ops Engineer,170139,SE,PT,United States,L,50,"Python, Spark, Hadoop",5
ML Ops Engineer,63860,EN,CT,Canada,L,100,"Linux, TensorFlow, GCP, Docker, Azure",0
NLP Engineer,125152,MI,CT,Norway,M,100,"TensorFlow, Docker, AWS, Spark",3
AI Software Engineer,61572,EN,CT,South Korea,L,50,"Linux, Azure, Kubernetes",0
Head of AI,101054,MI,CT,Germany,M,50,"Statistics, Tableau, Java, Data Visualization, NLP",3
Data Engineer,145355,EX,CT,Canada,S,100,"Spark, Linux, AWS, Deep Learning",13
Deep Learning Engineer,183484,EX,FT,Singapore,S,100,"Scala, Data Visualization, TensorFlow, Mathematics, Java",19
AI Product Manager,111997,MI,CT,Singapore,L,100,"PyTorch, Scala, Hadoop, Docker, Computer Vision",2
AI Specialist,214195,EX,PT,United Kingdom,M,100,"Tableau, GCP, Python",19
AI Software Engineer,93211,SE,PT,India,M,50,"Python, TensorFlow, GCP, Java",9
Deep Learning Engineer,82209,EN,PT,Germany,L,100,"Statistics, TensorFlow, Python",1
AI Software Engineer,149669,SE,PT,Germany,M,50,"Scala, Hadoop, Azure",9
AI Software Engineer,56825,MI,PT,China,M,50,"Linux, Azure, Git, Deep Learning, Spark",3
Research Scientist,131635,MI,FT,Denmark,L,50,"Kubernetes, Git, GCP, NLP",2
NLP Engineer,163843,SE,FL,Norway,L,50,"Scala, Python, Data Visualization, Kubernetes, Statistics",7
AI Consultant,73281,MI,CT,India,L,0,"Deep Learning, Azure, Python",2
Principal Data Scientist,51907,MI,CT,South Korea,M,50,"Statistics, AWS, Java, PyTorch",3
NLP Engineer,178240,EX,FL,Netherlands,S,50,"Python, Spark, TensorFlow",12
Machine Learning Researcher,83226,SE,FT,Ireland,S,0,"SQL, Docker, Linux, GCP",7
AI Product Manager,46995,EN,FT,Austria,S,100,"PyTorch, NLP, MLOps, Azure",1
AI Research Scientist,275296,EX,FT,Switzerland,L,0,"Docker, Azure, NLP",14
Deep Learning Engineer,300422,EX,PT,Denmark,M,100,"Python, TensorFlow, R",11
AI Product Manager,116704,MI,CT,Canada,L,100,"SQL, PyTorch, NLP, Data Visualization",2
AI Specialist,98422,EN,PT,United States,L,0,"Java, Python, Mathematics",0
Machine Learning Researcher,210249,EX,PT,Norway,M,100,"Mathematics, Docker, Deep Learning",15
NLP Engineer,67708,MI,FL,South Korea,S,0,"NLP, R, Scala, Computer Vision, Azure",3
Data Engineer,95796,EX,FL,Austria,S,100,"Python, TensorFlow, Scala, AWS",13
Head of AI,229098,EX,PT,Denmark,L,50,"PyTorch, SQL, Kubernetes, Git, Java",17
ML Ops Engineer,134300,EX,CT,Ireland,S,50,"Java, Python, Deep Learning, Statistics",11
AI Specialist,74408,EN,CT,Australia,M,100,"TensorFlow, Docker, R, NLP, Java",1
AI Architect,201971,EX,FT,Netherlands,M,0,"Java, Scala, Tableau",13
AI Software Engineer,180764,EX,CT,France,S,100,"GCP, TensorFlow, Data Visualization",17
Principal Data Scientist,49644,EN,CT,China,L,100,"Linux, PyTorch, TensorFlow, Azure, Python",0
AI Product Manager,89115,SE,CT,South Korea,M,50,"MLOps, Python, Linux, NLP",7
AI Software Engineer,38540,EN,PT,Austria,S,0,"Linux, Kubernetes, Spark, Java",1
AI Product Manager,180252,SE,FT,United States,L,50,"TensorFlow, Kubernetes, SQL, Linux, Mathematics",7
Robotics Engineer,56585,EN,FT,Netherlands,S,0,"MLOps, Java, AWS, NLP, PyTorch",1
AI Specialist,103942,SE,FL,Sweden,M,0,"Statistics, Python, TensorFlow",5
Autonomous Systems Engineer,176009,SE,FL,United Kingdom,L,50,"PyTorch, SQL, TensorFlow, Git, Azure",9
AI Specialist,59056,MI,CT,Ireland,M,50,"Scala, SQL, Deep Learning, Statistics, GCP",2
AI Consultant,76940,MI,FT,Austria,M,0,"AWS, Scala, Docker",3
Machine Learning Engineer,110341,SE,CT,United Kingdom,M,0,"Spark, Kubernetes, Mathematics",7
Data Scientist,102922,MI,FL,United Kingdom,L,0,"Python, SQL, Git",4
Machine Learning Researcher,44130,EN,FT,Japan,S,0,"Python, GCP, Docker, Git, Java",0
Data Engineer,128112,SE,CT,Singapore,L,100,"Mathematics, Hadoop, Tableau",5
Data Analyst,48892,EN,CT,France,M,100,"Linux, Python, NLP",0
Research Scientist,127478,MI,CT,United Kingdom,L,50,"Java, Docker, Hadoop",4
AI Research Scientist,100524,SE,FL,Finland,M,0,"Python, Kubernetes, Statistics, TensorFlow",6
Deep Learning Engineer,45429,EN,FT,Japan,L,0,"GCP, Deep Learning, Python, MLOps",0
ML Ops Engineer,62262,MI,FT,Austria,L,100,"R, SQL, AWS, MLOps, Data Visualization",4
AI Specialist,68595,MI,FT,China,S,50,"Azure, Python, TensorFlow, Data Visualization",4
AI Software Engineer,301038,EX,PT,Norway,M,50,"GCP, Azure, Deep Learning, Spark, SQL",18
Robotics Engineer,46253,EN,CT,China,M,0,"MLOps, Data Visualization, Git, TensorFlow, Hadoop",1
NLP Engineer,59644,EN,PT,Australia,M,0,"R, Docker, GCP, Java",0
Principal Data Scientist,53960,MI,PT,Finland,M,0,"PyTorch, MLOps, Computer Vision, AWS, Deep Learning",3
Computer Vision Engineer,94894,EN,PT,Netherlands,L,50,"AWS, Hadoop, Python, Scala, Computer Vision",1
Autonomous Systems Engineer,91611,SE,CT,Israel,L,0,"PyTorch, SQL, Kubernetes",5
NLP Engineer,285880,EX,FL,Netherlands,L,50,"SQL, Linux, Tableau, MLOps, Spark",18
AI Architect,115263,MI,FL,United Kingdom,L,50,"Mathematics, Hadoop, Scala, NLP, Kubernetes",3
Research Scientist,51882,MI,CT,China,S,50,"Scala, R, SQL",3
Data Scientist,82051,MI,PT,Germany,M,100,"Java, Python, MLOps, Docker",2
ML Ops Engineer,122331,SE,FL,Canada,L,0,"SQL, NLP, Python",5
AI Product Manager,159643,SE,PT,United States,S,100,"Data Visualization, Linux, GCP, Hadoop",5
Research Scientist,254305,EX,FL,United Kingdom,M,50,"Hadoop, Python, Linux, Mathematics",15
Data Analyst,52027,MI,PT,South Korea,M,100,"Kubernetes, Linux, Tableau, MLOps, Statistics",2
Robotics Engineer,43072,EN,PT,India,S,100,"Docker, PyTorch, Spark, TensorFlow, NLP",0
Research Scientist,87011,MI,FL,France,L,50,"Tableau, Linux, PyTorch, Java, AWS",4
AI Research Scientist,36734,EN,FL,China,S,100,"Azure, Python, Mathematics",1
Head of AI,84897,MI,CT,Ireland,L,0,"TensorFlow, Linux, Deep Learning, Hadoop",3
AI Research Scientist,173839,SE,FL,United States,M,100,"TensorFlow, Azure, Tableau, Data Visualization, Hadoop",5
ML Ops Engineer,59357,EN,FT,South Korea,L,0,"NLP, Tableau, Kubernetes, SQL, GCP",0
Data Scientist,51431,EN,FL,Austria,M,100,"Scala, Python, Data Visualization",0
Autonomous Systems Engineer,96506,SE,FT,Ireland,S,100,"Hadoop, Spark, Kubernetes, Scala",5
Data Analyst,59198,EN,FT,Canada,S,50,"Linux, Kubernetes, Data Visualization, TensorFlow, Docker",1
Machine Learning Engineer,223757,EX,FL,Germany,S,0,"Git, Statistics, Data Visualization, Python, Scala",12
Deep Learning Engineer,74322,EN,FT,France,L,0,"Hadoop, Spark, Tableau, R, Python",1
Research Scientist,120749,MI,FL,United States,M,50,"TensorFlow, MLOps, Kubernetes, SQL, Java",2
NLP Engineer,138212,EX,FT,Finland,S,50,"Hadoop, Azure, Java, MLOps",15
Robotics Engineer,199039,EX,PT,Canada,S,0,"Git, Docker, Statistics, Mathematics",15
AI Specialist,105699,SE,FL,Singapore,S,0,"Spark, Git, Hadoop",6
Research Scientist,38497,EN,FL,Japan,S,100,"Python, Mathematics, PyTorch, Spark",0
AI Product Manager,63141,MI,CT,Japan,S,100,"R, Azure, MLOps",3
AI Specialist,87871,SE,CT,Austria,L,100,"Git, Statistics, Mathematics, Hadoop, Java",9
Research Scientist,255678,EX,CT,United States,M,0,"SQL, Statistics, Mathematics, TensorFlow, GCP",18
Data Analyst,132056,SE,CT,Netherlands,S,0,"Java, Azure, Tableau, Python",7
AI Research Scientist,146085,SE,FT,United States,M,100,"Git, Scala, NLP, Python",6
Data Engineer,85037,MI,CT,Sweden,M,50,"PyTorch, Python, Deep Learning, SQL, MLOps",3
AI Product Manager,42661,EN,PT,Ireland,M,0,"Python, Linux, Tableau, SQL, MLOps",1
Deep Learning Engineer,119706,SE,FL,Israel,L,50,"TensorFlow, Hadoop, Python, Java, Docker",7
Computer Vision Engineer,110064,EX,PT,Finland,M,100,"PyTorch, Java, Kubernetes",10
Research Scientist,91090,SE,FT,China,M,100,"Azure, PyTorch, NLP, TensorFlow",9
Principal Data Scientist,80307,MI,FL,France,L,50,"Spark, Java, GCP",4
AI Product Manager,107321,MI,PT,Germany,L,0,"SQL, Python, GCP",3
Head of AI,59373,EN,CT,Austria,L,0,"Python, GCP, Mathematics, Scala, Deep Learning",0
Machine Learning Researcher,65191,EN,PT,France,S,0,"GCP, Python, Azure, Scala",0
Robotics Engineer,152969,EX,FL,Austria,L,0,"TensorFlow, PyTorch, Spark",16
Research Scientist,147893,SE,FL,Switzerland,S,50,"R, Python, Data Visualization, TensorFlow",8
Principal Data Scientist,69807,EN,FT,United States,L,0,"Data Visualization, Scala, Python, SQL, Linux",0
AI Software Engineer,67824,EN,FT,United Kingdom,L,0,"Java, AWS, GCP, Spark",0
Data Engineer,141523,EX,PT,South Korea,L,0,"AWS, Mathematics, Linux",10
Data Analyst,122796,SE,PT,India,L,100,"Scala, AWS, Spark, Deep Learning",9
AI Consultant,81885,MI,PT,United States,S,0,"Scala, GCP, MLOps, Python, Computer Vision",3
Data Analyst,118505,SE,CT,United Kingdom,M,50,"Scala, Mathematics, MLOps, Python",5
Robotics Engineer,133565,SE,PT,United States,S,100,"R, Git, Statistics, Spark, Python",5
Data Analyst,60019,EN,CT,United Kingdom,S,100,"Java, Kubernetes, Tableau",1
ML Ops Engineer,76875,EN,PT,United States,M,0,"Docker, Hadoop, PyTorch, Python, Java",0
Deep Learning Engineer,64400,EN,CT,Australia,L,0,"AWS, R, Python",1
Autonomous Systems Engineer,68857,MI,CT,Japan,M,0,"MLOps, Data Visualization, Deep Learning, Python",3
Computer Vision Engineer,97840,SE,PT,Ireland,M,100,"R, Linux, AWS",7
Machine Learning Engineer,168619,EX,FT,Sweden,L,100,"Azure, Git, SQL, NLP, Docker",18
Machine Learning Researcher,118132,SE,FL,United Kingdom,M,100,"Git, NLP, MLOps",8
Principal Data Scientist,81112,SE,FL,India,S,100,"Java, Git, Data Visualization, SQL, Kubernetes",7
Head of AI,111502,MI,FL,United Kingdom,M,0,"Git, Java, MLOps",4
NLP Engineer,151610,SE,PT,United States,L,100,"TensorFlow, Kubernetes, Git, Computer Vision, Statistics",5
Machine Learning Engineer,95128,SE,FL,Austria,L,100,"Linux, Statistics, MLOps, Computer Vision, Deep Learning",7
Machine Learning Engineer,136733,SE,FL,United Kingdom,S,0,"Tableau, GCP, SQL, MLOps",8
ML Ops Engineer,69822,MI,FL,China,S,50,"GCP, R, Python, Kubernetes",3
Machine Learning Researcher,88380,EN,PT,Switzerland,L,50,"Azure, Python, Data Visualization",0
NLP Engineer,199482,EX,PT,France,S,50,"PyTorch, Scala, NLP, GCP",18
Deep Learning Engineer,56268,MI,FT,Austria,S,50,"Java, Hadoop, Deep Learning, TensorFlow",4
Data Engineer,142301,EX,PT,France,M,50,"Deep Learning, Statistics, Docker",12
NLP Engineer,178371,EX,CT,India,M,0,"Spark, Python, Tableau",15
Computer Vision Engineer,157412,EX,CT,Israel,S,50,"Tableau, SQL, MLOps, PyTorch",12
AI Software Engineer,250562,EX,CT,Switzerland,S,0,"Docker, TensorFlow, Hadoop, Git, Scala",12
Data Engineer,167401,EX,FT,Ireland,M,50,"Tableau, AWS, NLP, Scala",14
Computer Vision Engineer,85328,EN,CT,Germany,L,0,"Git, SQL, Spark, MLOps",0
AI Consultant,94160,SE,FT,Ireland,S,100,"Tableau, Linux, SQL, Spark, GCP",5
NLP Engineer,147732,EX,PT,Japan,M,100,"Hadoop, SQL, Computer Vision",17
